tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
497,38:15.8,46:33.1,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,6149,Subscriber,1989,1
918,15:33.8,30:52.8,33,Kenmore Square,42.348706,-71.097009,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2176,Subscriber,1972,2
284,53:42.4,58:27.0,342,Boylston St at Jersey St,42.34465063,-71.09732501,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,5932,Subscriber,1998,2
282,46:50.5,51:33.5,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,3955,Subscriber,1958,1
1168,28:46.7,48:15.2,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,11,Longwood Ave at Binney St,42.338629,-71.1065,2033,Subscriber,1988,2
787,26:51.0,39:58.6,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,3489,Subscriber,1964,1
676,06:18.3,17:34.9,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,5973,Subscriber,1995,1
518,48:50.2,57:28.7,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,58,Mugar Way at Beacon St,42.35553628,-71.0728687,5520,Subscriber,1967,1
401,25:24.6,32:06.4,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,6017,Subscriber,1993,1
108,36:28.4,38:17.2,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4888,Subscriber,1991,2
109,52:42.9,54:31.9,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,4747,Subscriber,1969,1
144,11:31.5,13:55.7,318,Ames St at Broadway,42.3636929,-71.0875672,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,3095,Subscriber,1992,1
1595,47:15.8,13:50.8,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,109,West End Park,42.36590788,-71.06446669,5398,Subscriber,1965,2
231,21:40.0,25:31.2,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,2873,Subscriber,1996,1
1728,54:26.8,23:15.2,44,Congress St at North St,42.36041775,-71.05752244,98,Warren St at Chelsea St,42.371848,-71.060292,3990,Customer,1969,0
2166,14:32.1,50:38.6,333,699 Mt Auburn St,42.37500235,-71.14871614,371,700 Huron Ave,42.38078817,-71.15412891,3966,Customer,1995,1
479,08:20.0,16:19.7,426,Surface Rd at Summer St,42.3529457,-71.05656401,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,3057,Customer,1969,0
1277,33:04.7,54:22.4,7,Fan Pier,42.35339051,-71.0445714,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,3740,Subscriber,1990,0
283,02:21.6,07:05.0,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,6068,Subscriber,2001,1
485,06:13.9,14:19.3,107,Ames St at Main St,42.3625,-71.08822,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,5718,Subscriber,1993,1
204,19:47.5,23:11.9,52,Newbury St at Hereford St,42.348717,-71.085954,36,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,3865,Subscriber,1964,1
379,48:57.4,55:17.0,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,189,Kendall T,42.36242784,-71.08495474,5177,Subscriber,1989,1
867,05:49.2,20:16.9,338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,3225,Customer,1997,1
275,30:52.3,35:27.9,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,5,Northeastern University - North Parking Lot,42.341814,-71.090179,5125,Subscriber,1997,1
1865,50:41.6,21:47.0,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,86,Brookline Village - Station Street at MBTA,42.33299892,-71.11634426,5965,Subscriber,1993,1
847,38:35.2,52:42.8,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,4854,Subscriber,1972,2
911,30:47.1,45:58.2,4,Tremont St at E Berkeley St,42.345392,-71.069616,120,Beacon St at Charles St,42.356052,-71.069849,5147,Customer,1969,0
431,03:04.7,10:15.9,107,Ames St at Main St,42.3625,-71.08822,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,5210,Subscriber,1995,2
416,27:38.9,34:35.4,107,Ames St at Main St,42.3625,-71.08822,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,2254,Subscriber,1996,1
590,10:08.5,19:59.3,414,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,100,Davis Square,42.396969,-71.123024,5397,Subscriber,1983,1
950,44:50.8,00:41.5,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4170,Subscriber,1995,1
